,accuracy,precision,recall,f1,auc_roc
Logistic Regression,0.4666666666666667,0.4166666666666667,0.2777777777777778,0.3333333333333333,0.4650997150997151
XGBoost,0.5733333333333334,0.8333333333333334,0.1388888888888889,0.23809523809523808,0.6203703703703705
