,Baseline,Regime-Filtered,ML-Enhanced
Total Return,-0.3815822578158872,-0.05034703579414848,-0.02922610525605812
Annual Return,-30.24347120818177,-3.990408611168478,-2.3164045359398324
Annual Volatility,1.0093591080950088,0.6060900144669432,0.7258280971377518
Sharpe Ratio,-30.027441140729174,-6.691099530381166,-3.2809484027013025
Sortino Ratio,-45.92341890285494,-9.84813239847764,-5.215884959388226
Max Drawdown,-0.33849199164629434,-0.0752714723759963,-0.09200773388581518
Calmar Ratio,-89.34767130261842,-53.01355859276376,-25.1761937623045
